iter	Passed	Remaining
388	1279	2009
389	1282	2005
390	1285	2002
391	1288	1998
392	1291	1994
393	1294	1990
394	1296	1986
395	1300	1983
396	1303	1979
397	1306	1975
398	1309	1972
399	1312	1968
400	1315	1964
401	1318	1960
402	1320	1956
403	1323	1952
404	1326	1948
405	1329	1945
406	1332	1941
407	1335	1938
408	1338	1934
409	1341	1931
410	1346	1929
411	1348	1925
412	1351	1921
413	1354	1917
414	1358	1914
415	1361	1911
416	1364	1907
417	1366	1902
418	1369	1899
419	1373	1896
420	1376	1892
421	1379	1889
422	1381	1885
423	1384	1881
424	1387	1877
425	1390	1873
426	1394	1871
427	1397	1867
428	1400	1863
429	1403	1859
430	1405	1855
431	1408	1852
432	1411	1847
433	1413	1843
434	1416	1840
